y(cm),Qn,Qp,Ce,Cn,Cp,QTLD - C,C/E
46.35/SS,1.25E-16,2.35E-16,0.1,2.70,1,2.69E-16,1.13
53.3/SS,3.54E-17,7.84E-17,0.07,2.78,1,8.53E-17,1.09
60.05/SS,9.94E-18,2.82E-17,0.05,2.90,1,2.96E-17,1.11
66.9/SS,2.75E-18,9.82E-18,0.05,3.00,1,1.02E-17,1.17
73.9/SS,7.45E-19,3.65E-18,0.05,3.09,1,3.77E-18,1.14
80.6/SS,2.29E-19,1.46E-18,0.05,3.19,1,1.50E-18,1.21
87.25/SS,7.15E-20,5.33E-19,0.05,3.29,1,5.45E-19,1.18
91.65/SS,3.20E-20,2.09E-19,0.05,3.39,1,2.14E-19,0.97
95.36/SS,1.58E-20,9.02E-20,0.05,3.50,1,9.30E-20,1.01
97.56/Cu,2.78E-21,6.08E-20,0.05,4.54,1.05,6.45E-20,1.09
99.76/SS,7.36E-21,4.08E-20, 0.05,3.65,1,4.21E-20,1.17
101.96/Cu,1.66E-21,2.98E-20,0.05,5.12,1.05,3.17E-20,1.19